"Ingreso","Gasto_Educacion"
35881.98,4701.6
80947.46,14658.54
46807.92,3996.48
89471.57,17572.61
94642.06,15799.72
14100.08,3646.28
57529.49,9405.99
90317.71,11951.29
59629.15,6630.08
51095.33,6231.9
96115,8709.62
50800.07,10226.24
70981.36,11225.77
61537.01,7819.14
19263.22,2829.42
90984.25,12553.51
32147.9,3596.87
13785.36,2791.55
39512.86,9979.2
95905.33,4896.43
90058.54,7029.79
72352.31,7134.1
67645.61,6749.55
99484.28,6349.82
69013.52,8253.57
73767.74,5548.07
58965.94,11854.57
63472.78,8739.26
36024.38,7148.15
23240.23,2690.9
96672.18,11597.34
91206.91,13608.7
72163.48,9570.35
81592.07,10230.99
12215.23,2589.82
53001.64,5634.01
78261.36,8241.73
29476.71,3765.11
38636.29,7339.16
30846.32,7798.51
22852,5787.92
47309.17,7731.13
47235.19,6444.1
43196.09,7563.67
23720.03,3436.71
22492.55,4547.19
30973.07,5355.11
51936.62,1104.03
33937.54,8612.11
87204.49,4914.54
14124.81,1557.98
49798.01,6978.95
81903.24,10630.19
20970.93,4088.7
60485.32,8473.64
28587.83,3165.06
21477.85,4784.06
77797.71,15150.49
90554.08,7257.89
43701.65,7038.53
69860.37,8039.78
18535.66,3797.23
44557.27,8629.47
34694.53,5951.3
83317.6,18379.58
50366.47,6199.83
82905.79,16433.66
83115.06,8417.91
81490.81,9206.55
49584.85,6147.48
77902.76,10911.69
66629.9,10217.25
73916.42,9928.13
10056.23,3306.97
52778.49,5214.39
29810.7,4625.01
44183.49,7859.03
65149.39,11896.45
41661.81,6870.98
20002.19,4709.69
31925.75,6533.55
70125,11148.89
47588.21,6226.5
80937.63,9428.68
19257.82,4524.69
49140.35,5795.15
98646.13,11213.63
90374.6,10622.61
89782.22,3854.86
25754.74,5005.82
21762.61,4796.5
68779.17,8667.79
40916.48,9761.99
69108.23,8303.42
38833.59,7007.2
26892.2,5405.36
80406.49,13195.31
18423.55,4227.14
52010.11,6703.58
56035.49,9181.94
63999.01,9211.16
39954.12,6481.9
53975.17,9339.52
95902.64,15295.62
53461.22,7323.34
90131.52,9259.78
92299.44,17359.7
64786.15,8650.34
46962.08,5812.7
23238.52,3224.39
94176.98,12689.04
37110.6,6429.43
15464.85,2666.49
95295.42,5104.94
74853.66,10174.76
22806.49,3346.84
59435.62,11951.35
95868.21,6279.56
